	Phylum	Class	Order	Family	Genus	Species	3SppN.1.1	3SppN.1.2	3SppN.2.1	3SppN.2.2	3sppN.3.1	3sppN.3.2	3sppN.4.1	3sppN.4.2	6Spp.1.1	6Spp.1.2	6spp.2.1	6spp.2.2	6spp.3.1	6spp.3.2	6Spp.4.1	6Spp.4.2	Canola.1.1	Canola.1.2	Canola.2.1	Canola.2.2	Canola.3.1	Canola.3.2	Canola.4.1	Canola.4.2	Clover.1.1	Clover.1.2	Clover.2.1	Clover.2.2	Clover.3.1	Clover.3.2	Clover.4.1	Clover.4.2	Fallow.1.1	Fallow.1.2	Fallow.2.1	Fallow.2.2	Fallow.3.1	Fallow.3.2	Fallow.4.1	Fallow.4.2	Oat.1.1	Oat.1.2	Oat.2.1	Oat.2.2	Oat.3.1	Oat.3.2	Oat.4.1	Oat.4.2	Pea.1.1	Pea.1.2	Pea.2.1	Pea.2.2	Pea.3.1	Pea.3.2	Pea.4.1	Pea.4.2	Radish.1.1	Radish.1.2	Radish.2.1	Radish.2.2	Radish.3.1	Radish.3.2	Radish.4.1	Radish.4.2	Rye.1.1	Rye.1.2	Rye.2.1	Rye.2.2	Rye.3.1	Rye.3.2	Rye.4.1	Rye.4.2
OTU_183	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Tetracladium	furcatum	0.001634343	0.000687124	0.000302768	0.000444081	0.001028542	0.00044096	0.001737389	0.000960929	0.002462678	0.001017846	0.000748998	0.002368452	0.001211387	0.000260372	0.003604064	0.000489849	0.000863427	0.001207501	0.000657189	0.000318246	0.000307873	0.000236243	0.001468277	0.000523928	0.000670403	0.000769457	0.000223991	0.000330718	0.00048786	0.00025869	0.000907602	0.000367133	0.002473318	0.000604157	0.000930925	0.0000959	0.000662826	0.000751681	0.000596334	0.000685664	0.000674153	0.000996047	0.001669835	0.000475517	0.002642927	0.000180584	0.001044967	0.000850227	0.001282091	0.000981524	0.000524484	0.000459072	0.003842901	0.000300947	0.002373228	0.001633106	0.001803347	0.001976332	0.016315029	0.001828394	0.001248001	0.00081889	0.001334223	0.000686366	0.000316879	0.000411015	0.00011639	0.000527066	0.000283119	0.000336683	0.000541651	0.000293464
OTU_184	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusidium	griseum	0.002052008	0.00086256	0.000706459	0.001984485	0.002485643	0.00122489	0.000588945	0.001528751	0.001545543	0.002849969	0.001480578	0.001457509	0.000646073	0.000329451	0.000674309	0.000812117	0.002978824	0.000284118	0.00170869	0.000607992	0.000952939	0.000118121	0.003039592	0.000678725	0.000603363	0.0011332	0.000844274	0.000833411	0.001050775	0.003228002	0.001615974	0.001065871	0.002016292	0.002537458	0.001792031	0.000280312	0.001733544	0.001239258	0.001322305	0.000732149	0.000389951	0.000426877	0.001014746	0.000297198	0.000730282	0.000086	0.000692978	0.002574972	0.000834131	0.001020015	0.00133505	0.001732627	0.001470967	0.002617324	0.000931267	0.001463633	0.002690238	0.00044588	0.00466763	0.001506597	0.001306501	0.00067491	0.000806093	0.000589571	0.000514929	0.000639357	0.000192771	0.001643207	0.000825764	0.000984799	0.001376695	0.001021884
OTU_189	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	coccodes	0.001252996	0.015701525	0.000807382	0.0000555	0.001092826	0.000146987	0.000117789	0.000109197	0.000220792	0.0000679	0.000104511	0.000231876	0.000686453	0.0000585	0.000093	0.000206252	0.000259028	0.000071	0.00017525	0.0000427	0.000102624	0.0000738	0.0000773	0.000107167	0.000174305	0.0000979	0.0000862	0.000449777	0.000225166	0.000241819	0.0000443	0.0000711	0.000134419	0.010149831	0.00304878	0.0000885	0.000068	0.0000203	0.000129638	0.000127836	0.005036318	0.003920949	0.000321122	0.000202095	0.003129782	0.000086	0.000044	0.000121461	0.000154469	0.000134719	0.0000954	0.000222132	0.0000552	0.000474219	0.000120163	0.000154067	0.000147815	0.000638693	0.000606936	0.0000878	0.000780001	0.000287961	0.000111185	0.000114394	0.0000713	0.0000913	0.00004	0.000124016	0.00014156	0.0000842	0.000135413	0.0000576
OTU_190	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora	coronata	0.000399506	0.001301151	0.000389273	0.001776322	0.000514271	0.000461958	0.000853971	0.003363253	0.0004246	0.001085703	0.005277826	0.001838448	0.000565314	0.001992646	0.000720813	0.003815662	0.001230384	0.000733971	0.001796315	0.010464117	0.000322533	0.002067122	0.000592463	0.000333409	0.000402242	0.000363743	0.000809814	0.03648486	0.000450332	0.000686091	0.000575552	0.000260546	0.001357636	0.000996858	0.001163657	0.003828478	0.000441884	0.000528208	0.000544479	0.000708907	0.000687372	0.048758893	0.00220932	0.013801876	0.000660732	0.000209248	0.000274991	0.000388675	0.000324384	0.001231717	0.0145584	0.001458665	0.00044129	0.000337425	0.000465633	0.001217126	0.001862473	0.001675062	0.001488439	0.003949332	0.000819001	0.002861617	0.000444741	0.012002605	0.000427787	0.002374755	0.000123664	0.0166646	0.000967323	0.000521859	0.000293394	0.000843709
OTU_1905	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Lophotrichus	fimeti	0.0000545	0.000482449	0.000129758	0.002095505	0.0000429	0.002155806	0.0000294	0.000545983	0.000237776	0.000135713	0.000226441	0.000960631	0.0000606	0.002136116	0.00011626	0.000154689	0.0000432	0.002107207	0.000262875	0.000474994	0.0000586	0.002244304	0.000103037	0.000833522	0.000241345	0.000139901	0.000327372	0.002870636	0.000131347	0.000719833	0.0000664	0.00035529	0.000147861	0.0000906	0.000209458	0.001704005	0.000051	0.000528208	0.000129638	0.000592692	0.0000991	0.00115415	0.000128449	0.004588737	0.000121714	0.000378366	0.000066	0.000425113	0.0000463	0.000192456	0.000619845	0.000984784	0.0000919	0.000200631	0.000120163	0.000539233	0.000280849	0.000759201	0.000115607	0.001404207	0.000078	0.001151846	0.0000834	0.000413579	0.000110908	0.000456684	0.0000473	0.000930117	0.00014156	0.000782789	0.0000451	0.000550245
OTU_193	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	koningii	0.00087165	0.001549685	0.000432526	0.000416326	0.001907088	0.000342969	0.000441709	0.000764376	0.000288728	0.001289272	0.001288974	0.001043444	0.000706642	0.000196608	0.000883577	0.000386723	0.001510998	0.000165735	0.000613376	0.000261247	0.000307873	0.000251008	0.00275624	0.000345316	0.00041565	0.000475664	0.000758124	0.001627135	0.000412804	0.000399282	0.000619826	0.001326417	0.000255397	0.000483325	0.001047291	0.000169663	0.000628835	0.000264104	0.00106303	0.000348643	0.000727028	0.000632411	0.001618456	0.00022587	0.001025873	0.000235045	0.000252992	0.00083808	0.001004047	0.001655119	0.001398624	0.0037096	0.000514838	0.000410382	0.000255347	0.00032354	0.00057648	0.000180762	0.00199422	0.001038528	0.000858001	0.000431942	0.0007505	0.000439978	0.000602071	0.000411015	0.0000691	0.000449557	0.003421022	0.000732286	0.001354127	0.000157213
OTU_194	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	sp.	0.000127116	0.000219295	0.000144175	0.0000971	0.00010714	0.000741933	0.000147236	0.007774793	0.00016984	0.000339282	0.00012193	0.017523229	0.000343226	0.0000531	0.00023252	0.0000902	0.0001511	0.000071	0.000153344	0.0000427	0.0000586	0.0000295	0.000283352	0.0000953	0.000147489	0.000209852	0.029377305	0.00021166	0.000131347	0.0000506	0.000177093	0.000580307	0.000188187	0.000135935	0.0000931	0.0000664	0.000085	0.0000406	0.000155565	0.0000813	0.0000991	0.000237154	0.000231208	0.0000713	0.000156489	0.000043	0.000208993	0.000170045	0.000123575	0.000115473	0.000174828	0.000177705	0.000165484	0.000145914	0.000165225	0.0000616	0.000147815	0.0000964	0.000274566	0.000292543	0.000156	0.000116984	0.000250167	0.00021119	0.0000555	0.000182673	0.0000873	0.000170521	0.00014156	0.000101005	0.000112844	0.0000367
OTU_196	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	dematium	0.000199753	0.000394731	0.000187428	0.00011102	0.00010714	0.000174984	0.000147236	0.0000655	0.000832215	0.0000679	0.00024386	0.0000663	0.000121139	0.0000744	0.000139512	0.00016758	0.004597751	0.001870442	0.0000438	0.0000237	0.0000293	0.0000591	0.0000773	0.000631095	0.001850312	0.000111921	0.0000689	0.000185202	0.0000563	0.000191206	0.000110683	0.0000829	0.0000538	0.003171822	0.000256004	0.000059	0.000237937	0.0000406	0.0000519	0.001220249	0.000191671	0.00227668	0.000102759	0.000511181	0.030497983	0.0000516	0.000439986	0.000680181	0.000139022	0.000635104	0.000190721	0.00018511	0.0000919	0.000109435	0.000135184	0.00055464	0.002542423	0.000204864	0.0000867	0.000131644	0.0000975	0.001691773	0.000138982	0.000272786	0.000182206	0.0000457	0.0000473	0.000170521	0.000117966	0.000126256	0.000203119	0.0000891
OTU_199	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	anisopliae	0.000889809	0.001096475	0.00321511	0.000430203	0.000299991	0.000475957	0.000588945	0.001179323	0.000764279	0.000474995	0.000627068	0.001159382	0.00094892	0.000201921	0.00034878	0.000399613	0.001036113	0.000213088	0.000547657	0.000180498	0.000674388	0.000191947	0.001880426	0.000440576	0.002319595	0.000699506	0.001585168	0.003108753	0.000769317	0.00036554	0.000752645	0.000213174	0.000873726	0.000664572	0.000954198	0.000272936	0.001138701	0.000203157	0.000648189	0.000557828	0.000343686	0.000869565	0.000783538	0.000154543	0.001112811	0.000229312	0.000395987	0.000400821	0.000478853	0.001982294	0.001605238	0.002747029	0.00031258	0.000310066	0.000615838	0.001417413	0.000473009	0.000216915	0.000635838	0.000438815	0.000799501	0.000368951	0.000972871	0.000369582	0.00019805	0.001324382	0.0000691	0.000651082	0.001415595	0.002390452	0.001782933	0.000413994
OTU_20	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	crenulatus	0.000817171	0.003011652	0.003243945	0.009103651	0.037006086	0.004479597	0.000824524	0.00124484	0.022435843	0.001153559	0.000836091	0.001126257	0.0037553	0.005170252	0.001023089	0.027779568	0.015563278	0.001396913	0.043462069	0.017674525	0.010365049	0.007530232	0.019808866	0.006370489	0.008943177	0.022188335	0.006185603	0.02086172	0.092468195	0.00388035	0.001084695	0.002060684	0.003817512	0.032337482	0.046616086	0.004573519	0.028297558	0.011011113	0.01677513	0.004183711	0.009847919	0.006102767	0.005459076	0.027461097	0.006520378	0.000882853	0.001616948	0.00593944	0.010920943	0.002752117	0.018658911	0.001362408	0.006049351	0.012657997	0.001021389	0.036421341	0.078903802	0.010435998	0.014089595	0.005616827	0.053293553	0.009061786	0.044557483	0.002085497	0.025675151	0.021007444	0.000523754	0.055869039	0.010145099	0.003257411	0.076733846	0.003982728
OTU_202	Ascomycota	Leotiomycetes	Helotiales	Helotiales	Leptodontidium	orchidicola	0.00029055	0.000233915	0.0000721	0.001151834	0.0000643	0.000202982	0.000117789	0.000895412	0.001103959	0.000678564	0.00012193	0.011776007	0.000100949	0.0000425	0.000906829	0.0000773	0.000172685	0.000071	0.000284782	0.0000712	0.000161267	0.0000738	0.000180315	0.0000595	0.0000804	0.000028	0.000103381	0.000171974	0.0000938	0.0000562	0.000177093	0.0000592	0.000201629	0.004818149	0.000349097	0.0000516	0.000085	0.00014221	0.0000259	0.0000465	0.0000463	0.0000632	0.000115604	0.0000476	0.0000348	0.0000201	0.000066	0.0000243	0.006348667	0.001616628	0.000317869	0.0000963	0.00012871	0.000145914	0.017393655	0.001448226	0.000206941	0.001578656	0.00015896	0.00010239	0.0000975	0.000107986	0.0000834	0.000044	0.000522851	0.0000913	0.0000764	0.000062	0.000896544	0.000185176	0.000248257	0.0000314
OTU_205	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Bahusakala	australiensis	0.000145275	0.000219295	0.0000577	0.0000833	0.001757093	0.000741933	0.000176684	0.000218393	0.000152856	0.000339282	0.000191604	0.0000663	0.00185746	0.000472921	0.000651057	0.000399613	0.000453299	0.000213088	0.000284782	0.0000427	0.003914382	0.000767788	0.002627444	0.001059764	0.000201121	0.000237832	0.000172301	0.000357176	0.002908395	0.000528627	0.000885465	0.000509249	0.0000403	0.000196351	0.000209458	0.0000516	0.001002736	0.000325051	0.000570406	0.000627557	0.0000793	0.000142292	0.000179828	0.0000594	0.000834608	0.000298106	0.000088	0.000510136	0.000355278	0.000442648	0.000127148	0.000229536	0.001195161	0.000583654	0.001276736	0.001448226	0.000354757	0.000686896	0.000303468	0.000365679	0.001326001	0.000503932	0.000555926	0.000571972	0.0000475	0.000182673	0.0000327	0.0000465	0.001274036	0.001523492	0.004130086	0.000183415
OTU_211	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	intestinacea	0.000326869	0.000233915	0.000259516	0.000402448	0.000492843	0.000286974	0.000265025	0.002642556	0.000441584	0.00169641	0.000313534	0.000231876	0.003290935	0.000159412	0.000511545	0.000283597	0.000323785	0.000118382	0.000219063	0.00236072	0.00023457	0.000191947	0.000257593	0.000464391	0.000268161	0.000937338	0.000189531	0.006773114	0.000112583	0.000281185	0.000221366	0.000189488	0.000443584	0.00027187	0.000651648	0.000206546	0.005727494	0.020315706	0.000181493	0.001069171	0.000218108	0.015857708	0.000244053	0.004553074	0.000382529	0.000134721	0.000175994	0.000400821	0.000602428	0.002117013	0.000254295	0.000385028	0.000275806	0.000200631	0.000135184	0.000215693	0.000310412	0.000192813	0.000433526	0.005894743	0.0002925	0.000350953	0.000277963	0.000299185	0.000190128	0.000228342	0.00008	0.000325541	0.000259526	0.000244095	0.000293394	0.000277743
OTU_214	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Polytolypa	hystricis	0.000998765	0.000701744	0.000360438	0.000444081	0.000321419	0.000195982	0.00064784	0.000393108	0.000288728	0.000271426	0.001602508	0.00127532	0.000605694	0.0000691	0.000441789	0.001185949	0.000215857	0.0000474	0.00059147	0.000137748	0.000527782	0.0000738	0.001004611	0.000369131	0.00124695	0.000615565	0.001567938	0.001547762	0.000450332	0.000146216	0.000841192	0.000260546	0.000120977	0.000196351	0.001652392	0.000118026	0.000322915	0.00014221	0.000933392	0.000476478	0.00039656	0.00170751	0.001644145	0.00034475	0.000730282	0.000126122	0.000175994	0.001421093	0.000417066	0.000365666	0.002368124	0.00389471	0.000202258	0.000209751	0.00036049	0.000585453	0.00019216	0.0000964	0.000722543	0.000394933	0.000507001	0.000143981	0.000444741	0.000246388	0.000142596	0.0000913	0.0000727	0.00071309	0.000471865	0.001296231	0.000609357	0.00012577
OTU_223	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	glutinans	0.000363187	0.000160816	0.001182238	0.000346938	0.000535699	0.000587947	0.001531258	0.004389701	0.000356664	0.000339282	0.001132207	0.000149063	0.002281446	0.000611078	0.001046341	0.00137931	0.000453299	0.0000474	0.000876251	0.0000475	0.000307873	0.000310068	0.000618222	0.000631095	0.000429058	0.000867388	0.001051036	0.00031749	0.000356513	0.000455519	0.003563997	0.000189488	0.000161303	0.00034739	0.000674921	0.000413092	0.001104709	0.001279889	0.001192668	0.001510785	0.000641106	0.001027668	0.001014746	0.000106991	0.001512728	0.000467224	0.009404699	0.001093148	0.000556088	0.000192456	0.000254295	0.000518307	0.001654838	0.000319186	0.000210286	0.00036976	0.000428664	0.000108457	0.000231214	0.00040956	0.003919504	0.000512931	0.002084723	0.00101195	0.000831808	0.0000913	0.0000546	0.000232529	0.000589831	0.001691834	0.00074477	0.000136251
OTU_225	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	zeae	0.0005811	0.000482449	0.000922722	0.001040814	0.000664267	0.000566949	0.001030655	0.001856341	0.00242871	0.000610708	0.001550253	0.00120907	0.002685241	0.0000956	0.000860325	0.000399613	0.000971356	0.000284118	0.001051502	0.000375245	0.000894297	0.000221477	0.002034981	0.000595373	0.00221233	0.00109123	0.000844274	0.000714352	0.00073179	0.000382411	0.001372471	0.000757953	0.001303869	0.000332286	0.00423571	0.000302442	0.000764799	0.001503362	0.001659364	0.001034306	0.001744866	0.000711462	0.00165699	0.000356638	0.00172138	0.000114656	0.000329989	0.000522282	0.001652816	0.000808314	0.000842353	0.000318389	0.003236127	0.000209751	0.001021389	0.00036976	0.000517354	0.000795353	0.000447977	0.003144838	0.001384501	0.000395947	0.002195908	0.000976752	0.000316879	0.000730694	0.000123664	0.002309791	0.000849357	0.000580779	0.002144034	0.000434956
OTU_228	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	haematococca	0.001452749	0.001447347	0.001138985	0.001346119	0.000642839	0.00066494	0.001060102	0.000589661	0.000764279	0.000271426	0.000940603	0.002318764	0.000323037	0.00018598	0.001511382	0.001237512	0.002827725	0.000520883	0.001927753	0.000232747	0.000630406	0.000310068	0.001339481	0.000690632	0.001032421	0.000629556	0.00180916	0.002473774	0.000581679	0.000449896	0.001018285	0.001468533	0.001250101	0.001434872	0.000581828	0.000184416	0.000730808	0.000589155	0.000466696	0.000395128	0.000528747	0.001059289	0.000937677	0.000237758	0.000643344	0.000103191	0.000659979	0.002089128	0.001019494	0.001058507	0.002368124	0.003502277	0.000496451	0.001085232	0.000450613	0.00055464	0.002261574	0.000482032	0.003179191	0.001170172	0.000994501	0.000485935	0.00105626	0.000527974	0.000625837	0.000456684	0.0000582	0.000651082	0.000401085	0.0003451	0.000564219	0.000136251
OTU_230	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Gibellulopsis	nigrescens	0.000326869	0.000160816	0.0000144	0.0000694	0.00010714	0.000104991	0.0000589	0.0000655	0.0000849	0.0000679	0.000209023	0.0000994	0.000262467	0.0000266	0.0000698	0.000141798	0.0001511	0.0000474	0.0000438	0.000038	0.000088	0.0000443	0.000154556	0.0000476	0.000201121	0.000153891	0.000189531	0.000132287	0.000187638	0.0000394	0.0000664	0.0000947	0.0000538	0.0000906	0.000139639	0.0000148	0.000101973	0.000162526	0.00010371	0.000093	0.0000463	0.0000949	0.000205518	0.0000594	0.000139101	0.0000287	0.000044	0.0000972	0.0000772	0.000134719	0.000270189	0.000222132	0.0000919	0.000118555	0.000105143	0.00018488	0.0000591	0.0000121	0.0000145	0.000117017	0.0002535	0.000054	0.0000556	0.0000264	0.0000317	0.000182673	0.00000364	0.000170521	0.000377492	0.0000421	0.000428807	0.000021
OTU_234	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	glutinans	0.000254231	0.000204675	0.000288351	0.000513468	0.000149996	0.00021698	0.000176684	0.001332198	0.000101904	0.000135713	0.000174186	0.000248439	0.000181708	0.00014347	0.000162764	0.000283597	0.000366957	0.0000474	0.000372407	0.000109249	0.0004838	0.000295303	0.000103037	0.001202653	0.000268161	0.000237832	0.000155071	0.000291032	0.000112583	0.000629854	0.137866915	0.000225017	0.000228513	0.000181247	0.00044219	0.00011065	0.000220942	0.000182841	0.000181493	0.000174321	0.000185062	0.000300395	0.000244053	0.00028531	0.000260815	0.0000975	0.000736976	0.000461552	0.000200809	0.000327175	0.000127148	0.000296176	0.00031258	0.000109435	0.001231675	0.0002311	0.000162597	0.00014461	0.000274566	0.000497323	0.000760501	0.000179976	0.004475206	0.000351983	0.000142596	0.0000913	0.0000909	0.000666584	0.000212339	0.001144723	0.000293394	0.000434956
OTU_235	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Capronia	pilosella	0.000254231	0.000102338	0.000100923	0.000305305	0.00021428	0.000272975	0.00032392	0.000764376	0.000662375	0.00169641	0.0000871	0.000149063	0.000262467	0.0000956	0.000720813	0.000206252	0.000820256	0.000639265	0.000240969	0.000038	0.000395836	0.001476516	0.001880426	0.000464391	0.000067	0.000405714	0.000103381	0.0000529	0.00024393	0.000123721	0.000354186	0.000367133	0.000201629	0.000226559	0.000395643	0.0000738	0.000322915	0.0000609	0.000233348	0.0000349	0.000138796	0.000205534	0.000115604	0.0000476	0.000156489	0.0000545	0.000077	0.000631597	0.000432513	0.000307929	0.0000954	0.00042205	0.001305483	0.000611013	0.000225306	0.000308133	0.000709513	0.004290087	0.014479769	0.001784513	0.000351	0.000278963	0.000305759	0.000167192	0.000166362	0.002146413	0.0000509	0.000186023	0.000330306	0.00054711	0.000293394	0.000157213
OTU_2416	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	sp.	0.000544781	0.001301151	0.001009227	0.000971426	0.000342847	0.000286974	0.000412262	0.000458625	0.001630462	0.002307118	0.001010277	0.000662504	0.000605694	0.000138157	0.000395284	0.000812117	0.00079867	0.000118382	0.000219063	0.000137748	0.000322533	0.000103356	0.000515185	0.000452483	0.000724035	0.000139901	0.000361832	0.000780496	0.000168875	0.000146216	0.000686235	0.000509249	0.000120977	0.001661431	0.001280022	0.000059	0.000237937	0.000182841	0.003940989	0.000499721	0.000482482	0.000600791	0.001117505	0.001153128	0.00074767	0.0000459	0.000505984	0.000400821	0.000417066	0.000500385	0.00050859	0.001155085	0.00057	0.000237109	0.000300409	0.000477606	0.000606043	0.000180762	0.003179191	0.000848375	0.000507001	0.000170977	0.000138982	0.000228789	0.00011883	0.00027401	0.0000764	0.001317666	0.000637018	0.000336683	0.00092532	0.000131011
OTU_242	Ascomycota	Sordariomycetes	Xylariales	Xylariales	Microdochium	sp.	0.00172514	0.002558442	0.004959631	0.001013059	0.000385703	0.000426962	0.001148444	0.001725305	0.000560471	0.005767795	0.004128201	0.000861255	0.000201898	0.00018598	0.004673658	0.001585562	0.0003022	0.000189412	0.000394313	0.000137748	0.0000586	0.000103356	0.000231833	0.000154797	0.000643587	0.000265812	0.000620283	0.000555607	0.000337749	0.000123721	0.001018285	0.000343447	0.000174745	0.000166143	0.000651648	0.000169663	0.00015296	0.000101579	0.00020742	0.0001627	0.000429607	0.00115415	0.002106561	0.00063006	0.000173877	0.0000831	0.000208993	0.000109315	0.000447959	0.001982294	0.000794673	0.003109844	0.000165484	0.000337425	0.000615838	0.000215693	0.000325194	0.000241016	0.000982659	0.000438815	0.000351	0.000179976	0.0000834	0.000334383	0.003858006	0.00027401	0.0000946	0.001100639	0.00014156	0.000580779	0.001399264	0.000162453
OTU_245	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaeta	sp.	0.001234837	0.005350799	0.000144175	0.0000694	0.000192852	0.000167985	0.000530051	0.001201162	0.000220792	0.000203569	0.00012193	0.000115938	0.000100949	0.0000585	0.00286	0.001637125	0.001662098	0.008357799	0.0000219	0.000038	0.000190588	0.000561076	0.003503259	0.000333409	0.000362018	0.000349753	0.0000345	0.0000794	0.000112583	0.0000619	0.004228096	0.007721642	0.0000941	0.000120831	0.0000465	0.0000516	0.000101973	0.000101579	0.000129638	0.000139457	0.000105749	0.000252964	0.0000771	0.0000594	0.0000869	0.0000459	0.000066	0.002064836	0.000293491	0.001770593	0.0000795	0.000148088	0.0000552	0.0000821	0.000315429	0.000077	0.000147815	0.000108457	0.000115607	0.0000585	0.0000975	0.000242967	0.000305759	0.00020239	0.000150518	0.004247157	0.0000327	0.0000465	0.0000944	0.000134673	0.000293394	0.0000734
OTU_248	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales	Eucasphaeria	capensis	0.000544781	0.000365492	0.001297578	0.000471836	0.000878546	0.000678939	0.00064784	0.001157483	0.000934119	0.0000679	0.000539976	0.000960631	0.001049869	0.000180667	0.000255772	0.000721882	0.000863427	0.000236765	0.001270565	0.000356245	0.001070224	0.000251008	0.000901574	0.00065491	0.000737443	0.00116118	0.000499673	0.000661437	0.00234548	0.000579241	0.000376323	0.000272389	0.000793075	0.000755196	0.000698194	0.000191793	0.00064583	0.000304736	0.001322305	0.001011064	0.000270983	0.000695652	0.008708832	0.000546844	0.001251913	0.000278041	0.000285991	0.000959541	0.000602428	0.000885296	0.000683418	0.002169487	0.000588387	0.000428621	0.000240327	0.000354353	0.000694732	0.000289219	0.000202312	0.00251587	0.000994501	0.000368951	0.001084056	0.000888756	0.000673369	0.000913367	0.0000546	0.001503689	0.000707798	0.000378769	0.006071001	0.000157213
OTU_249	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	hamatum	0.000490303	0.000292393	0.000980392	0.000305305	0.000428559	0.000251977	0.000382815	0.001026447	0.000849199	0.000814277	0.000627068	0.000231876	0.000181708	0.0000956	0.000372032	0.000489849	0.005525935	0.000284118	0.000613376	0.000489244	0.00023457	0.000236243	0.001210685	0.00075017	0.000107264	0.000433694	0.000310142	0.000542378	0.000131347	0.000163087	0.000287776	0.000331604	0.00055112	0.000528637	0.000954198	0.000140156	0.000271928	0.000162526	0.000362986	0.000859985	0.000337076	0.000600791	0.001464317	0.000356638	0.001130199	0.0000717	0.000197994	0.000910957	0.001034941	0.000654349	0.000238402	0.000533116	0.000294193	0.000273588	0.0000601	0.000261913	0.000532135	0.000168711	0.005231214	0.000994646	0.0004875	0.000431942	0.000389148	0.000131993	0.000253503	0.000639357	0.0000473	0.000945619	0.000424679	0.000227261	0.001873209	0.000199136
OTU_252	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Rusavskia	elegans	0.000653737	0.000336252	0.000807382	0.000235918	0.000749979	0.000181984	0.001030655	0.001004608	0.002819341	0.001289272	0.000696743	0.000496878	0.0000404	0.00018598	0.000558049	0.000283597	0.000582813	0.000284118	0.000810533	0.000251747	0.000044	0.000310068	0.000721259	0.000190519	0.000174305	0.000531625	0.000275681	0.000145516	0.000112583	0.000196829	0.000442733	0.00121983	0.001895314	0.000906235	0.001000745	0.0000885	0.000390897	0.000223473	0.000492624	0.000464857	0.000528747	0.000490119	0.001759749	0.000202095	0.000678119	0.0000774	0.000208993	0.000437259	0.000108128	0.000365666	0.00046091	0.000555329	0.000625161	0.000766046	0.000405552	0.00055464	0.00057648	0.000566388	0.005679191	0.000819121	0.000351	0.000072	0.002835223	0.00020239	0.000388177	0.000456684	0.0000582	0.000403051	0.000259526	0.000159925	0.001331558	0.000209617
OTU_255	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Hymenoscyphus	sp.	0.000127116	0.012719112	0.0000865	0.000666121	0.003128482	0.000783929	0.000176684	0.000152875	0.001443639	0.0000679	0.00766417	0.00465409	0.000262467	0.0000478	0.000209268	0.003454721	0.0000432	0.0000474	0.000240969	0.0000522	0.000161267	0.000162417	0.000180315	0.000107167	0.000160897	0.000139901	0.0000517	0.00021166	0.0000751	0.0000956	0.000154956	0.000130273	0.000147861	0.000120831	0.000256004	0.0000443	0.000068	0.000121894	0.0000778	0.0000813	0.0000859	0.000110672	0.000500951	0.000653836	0.0000696	0.0000516	0.000077	0.000121461	0.000108128	0.000153965	0.0000477	0.000140683	0.000275806	0.000136794	0.000150204	0.000107847	0.001226867	0.000108457	0.012702312	0.000175526	0.0001365	0.000431942	0.000166778	0.0000792	0.000530773	0.002922775	0.000120027	0.000666584	0.00014156	0.002929145	0.000270825	0.000104809
